ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior,
1,0,2,3,4.5,81.9,81.9,368.55,ACEITE MOBIL DELVAC 25W-50 A GRANEL,81.9,81.9,
1,0,2,3,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/ML1008,60.34,60.34,
1,0,2,3,1,77.59,77.59,77.59,FILTRO DE COMBUSTIBLE PUROLATOR F-43178 EQ/ FGI-27,77.59,77.59,
1,0,2,3,1,142.24,142.24,142.24,FILTRO DE AIRE PUROLATOR TA54669 EQ/ F-68A50,142.24,142.24,
1,0,2,3,4,27.59,27.59,110.36,BUJÍA NGK BKR5,27.59,27.59,
1,0,2,3,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
1,0,2,3,1,72.41,72.41,72.41,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
1,0,2,3,3,82.76,82.76,248.28,ACEITE HAVOLINE 80W-90 LITRO,82.76,82.76,
1,0,2,3,2,82.76,82.76,165.52,ACEITE HAVOLINE 85W-140,82.76,82.76,
1,0,2,3,1,370.69,370.69,370.69,SOPORTE CARDÁN,370.69,370.69,
1,0,2,3,1,280.17,280.17,280.17,EMPAQUE DE PUNTERÍA,280.17,280.17,
2,0,7,7,1,409.48,409.48,409.48,GARRAFA DE ACEITE PARA MOTOR A DIESEL MOBIL DELVAC MX SEA 15W-40 API SN,409.48,409.48,
2,0,7,7,2,90.52,90.52,181.04,ACEITE PARA MOTOR DIESEL MOVIL DELVAC MX SAE 15W-40 API SN,90.52,90.52,
4,0,5,6,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
4,0,5,6,1,146.55,146.55,146.55,FILTRO DE AIRE PUROLATOR TA35671 EQ/ F-21A00,146.55,146.55,
