ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior
7,0,7,7,2,1577.59,1577.59,3155.18,LLANTA 195R15,1045.66,1045.66
37,0,12,4,1,1185.35,1185.35,1185.35,TOLVA SALPICADERA LADO RUEDA COPILOTO,822,822
37,0,12,4,1,1185.35,1185.35,1185.35,TOLVA DE MOTOR,822,822
60,0,42,35,1,6700,6700,6700,UNIDAD DE AIRBAG,3500,3500
61,0,42,35,1,5603.45,5603.45,5603.45,AIRBAG CONDUCTOR,1600,1600
61,0,42,35,1,5603.45,5603.45,5603.45,AIRBAG COPILOTO,1600,1600
61,0,42,35,1,6000,6000,6000,AIRBAG CORTINA DERECHA,1400,1400
66,0,6,7,2,1379.31,1379.31,2758.62,LLANTA 185/70/R13 MCA. BFGOODRICH,0,0
67,0,6,7,1,387.93,387.93,387.93,SOPORTE DE MOTOR,165,165
68,0,48,7,2,1853.45,1853.45,3706.9,LLANTA E LT195R15 DUNLOP SP175M,1370.69,1370.69
71,0,50,9,1,1551.73,1551.73,1551.73,LLANTA 215/70/R15 NEXEN,1150,1150
74,0,42,35,1,6465.52,6465.52,6465.52,CORTINA DEL IZQ AIR BAG,0,0
99,0,54,7,2,1551.73,1551.73,3103.46,LLANTA STARFIRE 195R15,0,0
102,0,6,7,4,818.96,818.96,3275.84,LLANTA STAR FIRE 185/70/R13,695.37,695.37
108,0,57,45,1,818.97,818.97,818.97,BOBINA DE ENCENDIDO ORIGINAL,570,570
110,0,59,46,1,1637.93,1637.93,1637.93,LLANTA 205/65/R16 MCA. PIRELLI,0,0
111,0,59,46,1,1637.93,1637.93,1637.93,LLANTA 205/65/R16 MCA. PIRELLI,0,0
116,0,35,7,4,3275.87,3275.87,13103.48,"LLANTA 245/75R17 LT, DICOVERER COOPER HT3",2570,2570
