ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior
1,0,1,2,1,2085,2085,2085,REPUESTO BOMBA Y FILTRO DE GASOLINA,1797.87,1797.87
3,0,3,2,1,290,290,290,TERMINAL DE DIRECCION NISSAN,250,250
3,0,3,2,1,160,160,160,VARILLA DE DIRECCION NISSAN,139,139
4,0,5,5,1,7180,7180,7180,BOMBA DE GASOLINA P/FORD ECONOLINE 9C2Z-9H307 (M),6189.65,6189.65
8,0,4,4,1,830,830,830,EMPAQUE DE PUNTERIAS CHRYSLER STRATUS,715,715
8,0,4,4,2,180,180,360,TERMINAL O MUÑON DE DIRECCION CHRYSLER STRATUS,152,152
8,0,4,4,1,135,135,135,VARILLA DE DIRECCION CHRYSLER,114,114
10,0,12,11,1,2100,2100,2100,MARCHA P/CHEVROLET EXPRESS (M),0,0
10,0,12,11,1,320,320,320,BOBINA DE ENCENDIDO P/CHEVROLET EXPRESS,163,163
11,0,20,19,1,379,379,379,ELEVADOR MANUAL (PUERTA) P/CHEVROLET CHEVY 9038861 (P),291.16,291.16
11,0,20,19,1,369,369,369,INTERRUPTOR DE ENCENDIDO P/CHEVROLET CHEVY 90505912 (M),71.04,318.1
11,0,20,19,1,163,163,163,RELEVADOR P/CHEVROLET CHEVY 93235361 (M),140.97,140.97
12,0,4,4,1,830,830,830,EMPAQUE DE PUNTERIAS CHRYSLER STRATUS,715,715
12,0,4,4,2,180,180,360,TERMINAL O MUÑON DE DIRECCION CHRYSLER STRATUS,152,152
12,0,4,4,1,135,135,135,VARILLA DE DIRECCION CHRYSLER,114,114
13,0,26,19,1,30,30,30,SILICON,30,30
13,0,26,19,1,1500,1500,1500,"ARBOL DE LEVAS P/CHEVROLET, CHEVY (M)",392.63,392.63
14,0,19,18,1,550,550,550,BANDA AUTOMOTRIZ K061058 (M),474.45,474.45
15,0,29,16,1,765,765,765,COLLARIN HIDRAULICO DE CLUTCH P/SPRINTER 2542508 (M),659.39,659.39
16,0,17,16,1,5336,5336,5336,BOMBA DE GASOLINA COMPLETA P/CHEVROLET SUBURBAN 6288-E (M),4600.69,4600.69
17,0,29,16,2,30,30,60,LIQUIDO PARA FRENOS,21,21
17,0,29,16,1,765,765,765,COLLARIN HIDRAULICO DE CLUTCH P/SPRINTER 2542508 (M),659.39,659.39
18,0,14,13,1,440,440,440,JUNTA DE TAPA DE PUNTERIAS P/PONTIAC G3 96353002 (M),379.31,379.31
18,0,14,13,1,694,694,694,SENSOR DE POSICION DEL ACELERADOR (TPS) P/PONTIAC 14990 (M),368.21,368.21
19,0,3,2,2,130,130,260,BUJE PUENTE CHICO P/NISSAN SENTRA 1416047 (M),111.69,111.69
19,0,3,2,2,192,192,384,BUJE DE PUENTE GRANDE P/NISSAN SENTRA 1416055 (M),165.41,165.41
20,0,3,2,2,188,188,376,BUJE DE HORQUILLA FLOTANTE P/NISSAN 1416011 (M),162.59,162.59
20,0,3,2,2,233,233,466,TORNILLO ESTABILIZADOR P/NISSAN 2116018 (M),200.76,200.76
20,0,3,2,2,230,230,460,ROTULA INFERIOR P/NISSAN 1016009 (M),199.34,199.34
21,0,14,13,1,440,440,440,JUNTA DE TAPA DE PUNTERIAS P/PONTIAC G3 96353002 (M),379.31,379.31
21,0,14,13,1,694,694,694,SENSOR DE POSICION DEL ACELERADOR (TPS) P/PONTIAC 14990 (M),368.21,368.21
