ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior
3,0,NULL,1,1,533.46,533.46,533.46,NULL,0,0
7,0,29,16,1,689.66,689.66,689.66,NULL,681.03,681.03
7,0,29,16,1,168.11,168.11,168.11,NULL,0,0
8,0,NULL,1,1,0,0,0,NULL,732,732
8,0,NULL,1,8,0,0,0,NULL,34.91,34.91
9,0,NULL,1,1,952,952,952,NULL,732,732
9,0,NULL,1,8,72.84,72.84,582.72,NULL,34.91,34.91
13,0,27,14,1,258.62,258.62,258.62,NULL,193.97,193.97
13,0,27,14,1,303.02,303.02,303.02,NULL,270,270
16,0,NULL,1,1,550,550,550,NULL,474,474
16,0,NULL,1,1,125,125,125,NULL,138.03,138.03
18,0,30,17,2,233.11,233.11,466.22,NULL,28,28
18,0,30,17,2,1447.94,1447.94,2895.88,NULL,1113.8,1113.8
18,0,30,17,2,1143.11,1143.11,2286.22,NULL,879.32,879.32
18,0,30,17,2,421.95,421.95,843.9,NULL,324.57,324.57
20,0,33,19,2,225,225,450,NULL,297.41,297.41
23,0,26,12,2,519.83,519.83,1039.66,NULL,30,30
24,0,NULL,1,1,123,123,123,NULL,1,1
30,0,53,33,1,107.7,107.7,107.7,NULL,138.03,138.03
30,0,53,33,1,474.1,474.1,474.1,NULL,474,474
30,0,53,33,1,123.27,123.27,123.27,NULL,0,0
33,0,60,38,1,114.5,114.5,114.5,NULL,293.11,293.11
36,0,NULL,1,2,137.32,137.32,274.64,NULL,0,0
37,0,NULL,1,8,50.43,50.43,403.44,NULL,75,75
41,0,NULL,1,1,68.9,68.9,68.9,NULL,79.8,79.8
42,0,NULL,1,1,303.02,303.02,303.02,NULL,270,270
42,0,NULL,1,2,0,0,0,NULL,0,0
43,0,NULL,1,2,128,128,256,NULL,0,0
43,0,NULL,1,1,351.5,351.5,351.5,NULL,270,270
44,0,NULL,1,1,351.5,351.5,351.5,NULL,270,270
44,0,NULL,1,2,128,128,256,NULL,0,0
51,0,NULL,1,1,150,150,150,NULL,109.2,109.2
53,0,33,19,2,190,190,380,NULL,177,177
53,0,33,19,2,221,221,442,NULL,116,116
58,0,NULL,1,1,862,862,862,NULL,0,0
67,0,NULL,1,1,134.76,134.76,134.76,NULL,0,0
69,0,14,5,1,344,344,344,NULL,0,0
70,0,NULL,1,1,550,550,550,NULL,474,474
71,0,33,19,2,175,175,350,NULL,93.1,93.1
72,0,NULL,1,1,105.18,105.18,105.18,NULL,109.2,109.2
76,0,70,47,1,4158,4158,4158,NULL,0,0
77,0,107,67,1,35,35,35,NULL,14.61,14.61
84,0,105,65,1,4402,4402,4402,NULL,2548.71,2548.71
87,0,NULL,1,1,0,0,0,NULL,82.18,82.18
87,0,NULL,1,1,76,76,76,NULL,58,58
88,0,NULL,1,1,76,76,76,NULL,58,58
88,0,NULL,1,1,115,115,115,NULL,82.18,82.18
101,0,NULL,1,1,146.55,146.55,146.55,NULL,0,0
106,0,134,6,4,120,120,480,NULL,0,0
106,0,134,6,4,294,294,1176,NULL,0,0
107,0,NULL,1,1,97.42,97.42,97.42,NULL,0,0
109,0,132,83,1,43.1,43.1,43.1,NULL,2.92,2.92
109,0,132,83,3,323,323,969,NULL,0,0
112,0,NULL,1,1,351.5,351.5,351.5,NULL,270,270
113,0,NULL,1,1,362,362,362,NULL,270,270
125,0,NULL,1,1,137.93,137.93,137.93,NULL,0,0
125,0,NULL,1,1,139.66,139.66,139.66,NULL,0,0
128,0,129,81,1,68.97,68.97,68.97,NULL,38.79,38.79
132,0,NULL,1,1,172,172,172,NULL,0,0
135,0,NULL,1,1,100,100,100,NULL,1,1
137,0,NULL,1,1,95.69,95.69,95.69,NULL,0,0
138,0,NULL,1,1,134.76,134.76,134.76,NULL,0,0
138,0,NULL,1,1,75,75,75,NULL,62,62
139,0,161,102,1,2586,2586,2586,NULL,0,0
142,0,NULL,1,1,189.65,189.65,189.65,NULL,0,0
142,0,NULL,1,1,126.7,126.7,126.7,NULL,0,0
145,0,13,13,1,172.41,172.41,172.41,NULL,0,0
145,0,13,13,1,431,431,431,NULL,0,0
146,0,NULL,1,1,125.87,125.87,125.87,NULL,0,0
148,0,129,81,1,30.18,30.18,30.18,NULL,0,0
148,0,129,81,1,137.07,137.07,137.07,NULL,0,0
