ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior
1,0,2,2,3,780,780,2340,BALERO DOBLE 541085,650,650
2,5,NULL,2,5,754,754,3770,BALERO DOBLE 541085,650,650
4,0,NULL,28,1,754,754,754,BALERO DOBLE 541085,650,650
6,0,61,35,1,44.2,44.2,44.2,FILTRO DE AIRE,35,35
6,0,61,35,1,75.4,75.4,75.4,LIMPIADOR DE INYECTORES,67.19,67.34
6,0,61,35,1,60.41,60.41,60.41,LIQUIDO LIMPIADOR DE CUERPO DE ACELERACION,43.28,43.28
6,0,61,35,1,154.48,154.48,84.964,GG-107 FILTRO DE GASOLINA,139.8,139.8
6,0,61,35,1,18.82,18.82,18.82,MR42XLS BUJIAS ACDELCO,17.02,17.02
6,0,61,35,1,478.49,478.49,478.49,89050475 CABLES PARA BUJIA,289.77,330.07
7,0,80,49,2,1.33,1.33,2.66,1393 CINCHO NEGRO,1.02,1.02
7,0,80,49,1,42.64,42.64,42.64,GG986 FILTRO PARA GASOLINA,44.24,44.24
7,0,80,49,1,8.12,8.12,8.12,1176 FOCO 12V.,6.25,6.25
7,0,80,49,1,112.07,112.07,112.07,LIMPIADOR DE INYECTORES PRESURIZADO,78.6,78.6
7,0,80,49,1,55.64,55.64,55.64,098MF0510 FILTRO DE ACEITE,42.8,42.8
7,0,80,49,1,78.33,78.33,78.33,1408099 GOMA DE BARRA ESTABILIZADORA,76.94,76.94
7,0,80,49,4,25.56,25.56,102.24,RS12YC BUJIA CHAMPION,721.36,721.36
7,0,80,49,1,11.44,11.44,11.44,TERMINAL PARA BATERIA,7.59,7.59
7,0,80,49,1,79.63,79.63,79.63,CA8243 FILTRO PARA AIRE,61.25,61.25
7,0,80,49,1,474.14,474.14,474.14,41151348 ACEITE PENSOIL 10W30,271.36,271.36
